FacilityName,StreeetNo,StreetName_Suffix,StreetDirection,UnitNumber,Municipality,Telephone,Fax,LONGITUDE,LATITUDE
Real Canadian Superstore,411,Louth Street,,,St. Catharines,(905) 984-8408,(905) 984-8606,-79.2664348872808,43.1533623682859
FreshCo,318,Ontario Street,,,St. Catharines,(905) 684-8597,NULL,-79.263250709096,43.1694828219883
Food Basics,325,Thorold Road,,,Welland,(905) 735-4320,NULL,-79.2722178161162,43.0028799035178
T & K Eastern Import,365,Vine Street,,,St. Catharines,(905) 646-9840,NULL,-79.2312757424227,43.1856700623089
Food Basics,6770,McLeod Road,,,Niagara Falls,(905) 356-1103,(905) 356-1529,-79.1074562450403,43.0699065902089
Shoppers Drug Mart,20,Highway 20,E,,Pelham,905-892-5791,905-892-1020,-79.2828671986196,43.0450841003105
Shoppers Drug Mart,275,Fourth Avenue,,,St. Catharines,(905) 641-2244,(905) 641-1751,-79.2688711934392,43.1562195888082
Food Basics,275,Geneva Street,,,St. Catharines,(905) 937-6523,NULL,-79.2416244686541,43.1763253490713
No Frills - Brent & Jenny's,53,Westside Road,,,Port Colborne,(905) 834-5577,(905) 834-8903,-79.2665719121626,42.8959191362589
Outlet Collection at Niagara- Davids Tea,300,Taylor Rd.,,725,Niagara-on-the-Lake,(905) 685-1734,NULL,-79.1720082495293,43.1588975873376
No Frills,4961,King Street,,,Lincoln,(905) 563-4246,(905) 563-1932,-79.4740494720834,43.1655114928553
Costco,3,North Service Road,,,St. Catharines,(905) 646-2008,NULL,-79.2479204043636,43.1779527366264
The New Food Box,7000,McLeod Road,,,Niagara Falls,(905) 357-6377,NULL,-79.1114761252244,43.0699640174098
Sobey's,110,Highway 20,E,,Pelham,(905) 892-2570,NULL,-79.2787229022243,43.0470877826361
Shoppers Drug Mart,5175,Victoria Avenue,,,Niagara Falls,(905) 356-5096,(905) 356-6176,-79.0740447071521,43.0995369187446
Foodland,9,Pine Street,N,,Thorold,(905) 227-0533,NULL,-79.204027508746,43.1257433556512
Foodland,176,Griffin Street,,,West Lincoln,(905) 957-7015,NULL,-79.5458641914264,43.0993647038974
Sobey's,4610,Ontario Street,,,Lincoln,(905) 563-1088,NULL,-79.4787291751231,43.1812238345645
Lococo's,4167,Victoria Avenue,,,Niagara Falls,905-358-3281,905-358-0384,-79.0740929619149,43.1134768180623
Zehrs,821,Niagara Street,,,Welland,(905) 732-9377,(905) 732-9216,-79.25136443136,43.0175335583954
Walmart,420,Vansickle Drive,,,St. Catharines,(905) 687-9212,NULL,-79.2685507171096,43.1529775934967
Food Basics,3770 ,Montrose Road,,,Niagara Falls,(905) 371-3200,NULL,-79.1230862472672,43.1181101374269
Foodland,3357,King Street,,,Lincoln,(905) 562-5881,(905) 562-3322,-79.3901255463646,43.1506831526831
Walmart ,7481,Oakwood Drive,,,Niagara Falls,(905) 371-3999,NULL,-79.1195228965308,43.0674772014486
Bamboo Natural Food Market Inc,211,Martindale Road,,1B,St. Catharines,(289) 362-5637,(289) 362-5923,-79.2735733682039,43.1711526882833
Sobey's,3714,Portage Rd.,,,Niagara Falls,(905)-371-2270,(905) 371-2525,-79.0986300308763,43.118664238465
Zehrs,6940,Morrison Street,,,Niagara Falls,(905) 358-5544,(905) 358-0982,-79.1125451268175,43.1030866581239
Meg Africana,1A,Wiley Street,,,St. Catharines,(289) 362-2445,NULL,-79.2403980553497,43.1654156290658
Food Basics,63,Main Street,W,,Grimsby,(905) 945-3323,(905) 945-7222,-79.5635853327147,43.1937387338385
No Frills,6460,Lundy's Lane,,,Niagara Falls,(905) 357-4623,(905) 357-3863,-79.1020001474788,43.0887214104196
Shoppers Drug Mart,387,Scott Street,,,St. Catharines,(905) 934-4260,NULL,-79.2272135855499,43.1901544517081
Real Canadian Superstore,361,South Service Road ,,,Grimsby,(905) 309-3911,NULL,-79.5920698119978,43.2052492134102
Fiesta Filipino,8003,Lundy's Lane,,,Niagara Falls,(905) 357-3758,NULL,-79.0926126315798,43.0881375499084
Rexall Drug Store ,258,Lake Street,,,St. Catharines,(905) 684-2305,(905) 684-0620,-79.2501852741373,43.1750507584019
Zehrs,285,Geneva Street,,,St. Catharines,(905) 646-7671,NULL,-79.243769717313,43.1775141127757
Shoppers Drug Mart,150,Main Street,E,,Grimsby,(905) 945-5422,NULL,-79.5448654390594,43.1876176169454
Shoppers Drug Mart,3703,Portage Road,,,Niagara Falls,(905) 354-3871,NULL,-79.1012743590106,43.1193340166194
No Frills - Mark's,581,Lake Street,,,St. Catharines,(905) 937-4290,(905) 937-6219,-79.25304400297,43.1990161438659
Shoppers Drug Mart,800 ,Niagara Street ,,,Welland,(905) 735-7525,NULL,-79.2468110049969,43.0159375707984
Foodland,8251,Dock Street,,,Niagara Falls,(905) 295-6133,NULL,-79.0525535166546,43.0567208204687
National Grocers Cash & Carry,5772,Main Street,,,Niagara Falls,(905) 356-4795,NULL,-79.0921749339861,43.0908091219379
Orchard Glen Farm Market,116,Four Mile Creek Road,,,Niagara-on-the-Lake,(905) 262-5531,NULL,-79.1050317307465,43.1520287701987
Sobey's,400,Scott Street,,,St. Catharines,(905) 935-9974,NULL,-79.2271667654698,43.188544106426
Shoppers Drug Mart,600,Ontario Street,,,St. Catharines,(905) 937-3532,(905) 937-1488,-79.2590895056894,43.1949887604694
No Frills - Ron's ,525,Welland Avenue,,,St. Catharines,(905) 685-4096,NULL,-79.2143906797143,43.1763221400445
Walmart,525,Welland Avenue,,,St. Catharines,(905) 685-4100,NULL,-79.2143906797143,43.1763221400445
National Grocers Cash & Carry,189,Bunting Road,,,St. Catharines,(905) 685-5462,NULL,-79.2107069880332,43.1711725109775
Pistachio's,526,Welland Avenue,,,St. Catharines,(905) 684-3312,NULL,-79.2106008870138,43.1760693150475
Sobey's,343,Glendale Avenue,,,St. Catharines,(905) 680-8563,,-79.2162624405605,43.1380099526736
Food Basics,149,Hartzel Road,,,St. Catharines,(905) 684-7439,,-79.2153271671443,43.1485757387533
Zehrs,221,Glendale Avenue,,,St. Catharines,(905) 984-3420,,-79.224562827439,43.1361535763046
FreshCo,286,Bunting Road,,,St. Catharines,(905) 687-9462,,-79.2088374633241,43.178153273882
Elda's Store Latin & Jamaican Products,278,Bunting Road,,2,St. Catharines,(289) 362-0369,,-79.209710365753,43.1771764428931
Pupo's Food Market,195,Maple Avenue,,,Welland,(905) 735-8401,,-79.2593833853828,42.9886378963182
Walmart,750,Garrison Road,,,Fort Erie,(905) 991-9971,,-78.943131694732,42.9062047342787
Shoppers Drug Mart,125,Carlton Street,,8A,St. Catharines,(905) 688-2132,(905) 688-2722,-79.2515063563821,43.1724673789942
Giant Tiger,200,Fitch Street,,,Welland,905-735-0963,,-79.2656238622894,42.9952836514357
Giant Tiger,350,Scott Street,,,St. Catharines,(905) 934-7823,,-79.2322663896973,43.18702705078
Giant Tiger,120,Welland Avenue,,,St. Catharines,(905) 685-1167,,-79.2454269168206,43.1634667216415
Giant Tiger,20,Highway 20,East,,Pelham,(905) 892-5735,,-79.2828671986196,43.0450841003105
Giant Tiger,36,Main Street,West,,Grimsby,(905) 309-4511,,-79.5612686944726,43.1944840144959
Giant Tiger,249,St Catharines Street,,,West Lincoln,(905) 957-1855,,-79.5378023014123,43.0953915996085
